comment,comment_id,source
"""Ingat po kau""","""1183411118435462_1183443081765599""",DOST_PAGASA
"""maulan din dito sa silay city, negros occ.""","""1183411118435462_1183443158432258""",DOST_PAGASA
"""Dito sa san carlos negros matinding ulan na nga sumabay pa c brownout... Kaloka!!""","""1183411118435462_1183443165098924""",DOST_PAGASA
"""salamat po sa update""","""1183411118435462_1183443698432204""",DOST_PAGASA
"""Cloudy skies @ San Jose Nueva Ecija..""","""1183411118435462_1183443915098849""",DOST_PAGASA
"""Ang ganda mo mag report madam. Magaling clap clap clap. 3 bagsak\ud83d\ude0a\ud83d\ude0a\ud83d\ude0a\ud83d\udc94""","""1183411118435462_1183448058431768""",DOST_PAGASA
"""Very clear po salamat pag asa. Tlagang ma aasahan!!!!""","""1183411118435462_1183448368431737""",DOST_PAGASA
"""Malakas ang ulan at hangin dito po sa borongan eastern samar""","""1183411118435462_1183448438431730""",DOST_PAGASA
"""Walang tigil.ang ulan sa cebu..""","""1183411118435462_1183448445098396""",DOST_PAGASA
"""salamat sa update""","""1183411118435462_1183448488431725""",DOST_PAGASA
"""Morning all""","""1183411118435462_1183449555098285""",DOST_PAGASA
"""Ulan dito sa bohol""","""1183411118435462_1183450615098179""",DOST_PAGASA
"""Ang dilim dito bacolod""","""1183411118435462_1183450845098156""",DOST_PAGASA
"""Ulan kayo dre danao hantod karun bai .""","""1183411118435462_1183451021764805""",DOST_PAGASA
"""Nueva ecija makulimlim po""","""1183411118435462_1183451818431392""",DOST_PAGASA
"""Ty sa update""","""1183411118435462_1183452005098040""",DOST_PAGASA
"""Very heavy rains here in Cebu since 4AM""","""1183411118435462_1183452011764706""",DOST_PAGASA
"""Malakas ang ulan dito sa Tacloban""","""1183411118435462_1183452068431367""",DOST_PAGASA
"""Maulan dito surigao""","""1183411118435462_1183452498431324""",DOST_PAGASA
"""Grabe ulan dito sa city of naga cebu...baha sa amin""","""1183411118435462_1183452885097952""",DOST_PAGASA
"""See Simple Weather""","""1183411118435462_1183453581764549""",DOST_PAGASA
"""Sobrang lakas ng ulan dito sa Lahug, Cebu City. Rain, rain go away!""","""1183411118435462_1183453671764540""",DOST_PAGASA
"""thanks sa update,""","""1183411118435462_1183453818431192""",DOST_PAGASA
"""Salamat Sr. Sto. Ni\u00f1o kay karon pa nimo gipa bundak ang ulan..Keep safe parin.""","""1183411118435462_1183454058431168""",DOST_PAGASA
"""Grabe angblakas ng hangin at ulan dto sa borongan eastern samar.""","""1183411118435462_1183454161764491""",DOST_PAGASA
"""Dark skies and moderate winds here in Iloilo""","""1183411118435462_1183455298431044""",DOST_PAGASA
"""Malakas ulan dito sa bacolod city at mahangin""","""1183411118435462_1183455711764336""",DOST_PAGASA
"""Good morning PAGASA thank u for d regular update""","""1183411118435462_1183455808430993""",DOST_PAGASA
"""Thanks PAGASA""","""1183411118435462_1183455881764319""",DOST_PAGASA
"""Sobrang ulan dito sa Baybay city leyte""","""1183411118435462_1183457305097510""",DOST_PAGASA
"""Maulan dito sa altavas aklan""","""1183411118435462_1183457351764172""",DOST_PAGASA
"""Tnx po sa update""","""1183411118435462_1183459548430619""",DOST_PAGASA
"""Maulan po dito sa surigao...""","""1183411118435462_1183459831763924""",DOST_PAGASA
"""Dark skies Ubay, Bohol""","""1183411118435462_1183460418430532""",DOST_PAGASA
"""Expand your area of responsibilities dahil hours lang ang prep once mag broadcast kayo.  Gayahin nyo ang US accurate to 2 weeks ang forecast nila""","""1183411118435462_1183461315097109""",DOST_PAGASA
"""Thank u for d update""","""1183411118435462_1183461335097107""",DOST_PAGASA
"""malaks ulan here n cebu.""","""1183411118435462_1183461931763714""",DOST_PAGASA
"""Good job""","""1183411118435462_1183462285097012""",DOST_PAGASA
"""Goodmorning thank you pag-asa for the regular update""","""1183411118435462_1183462518430322""",DOST_PAGASA
"""Malakas ulan sa Mandaue""","""1183411118435462_1183463241763583""",DOST_PAGASA
"""What is the direction of the LP?""","""1183411118435462_1183463768430197""",DOST_PAGASA
"""Thanks for the weather update""","""1183411118435462_1183464745096766""",DOST_PAGASA
"""Gd am malakas talaga ang ulan bha n nga d amin...""","""1183411118435462_1183468638429710""",DOST_PAGASA
"""Malakas ulan dito dinagat islands mula pa kagabi.""","""1183411118435462_1183470151762892""",DOST_PAGASA
"""Thanks""","""1183411118435462_1183471328429441""",DOST_PAGASA
"""Sana wala nang ulan sa catanduanes pti sa isabela..""","""1183411118435462_1183473801762527""",DOST_PAGASA
"""Maulan din po dito sa Kalibo, Aklan""","""1183411118435462_1183480171761890""",DOST_PAGASA
"""Salamat sa update pagaasa""","""1183411118435462_1183480525095188""",DOST_PAGASA
"""Thanks for the update PAG-ASA""","""1183411118435462_1183480848428489""",DOST_PAGASA
"""Malakas din ang ulan sa dalaguete cebu""","""1183411118435462_1183481768428397""",DOST_PAGASA
"""Ilang uras kaya ito mag tatagal ang ulan?""","""1183411118435462_1183482058428368""",DOST_PAGASA
"""Wala po bang suspension sa mga clase ?""","""1183411118435462_1183482188428355""",DOST_PAGASA
"""Dito rin sa leyte ang lakas ng ulan""","""1183411118435462_1183482351761672""",DOST_PAGASA
"""Oo alam talaga ng pag asa pina alam lang sa mga reader kagaya ko kong hanggang saan ang ulan sa bahagi ng ating bansa...para po ma aware""","""1183411118435462_1183483485094892""",DOST_PAGASA
"""heavy rain po dto sa liong dumanjug cebu.""","""1183411118435462_1183484138428160""",DOST_PAGASA
"""Thank you sa update pagasa""","""1183411118435462_1183485088428065""",DOST_PAGASA
"""Thanks po sa update""","""1183411118435462_1183486798427894""",DOST_PAGASA
"""Malakas dto sa batuan bohol""","""1183411118435462_1183487288427845""",DOST_PAGASA
"""Maulan dito boljoon cebu""","""1183411118435462_1183487508427823""",DOST_PAGASA
"""Watching from ARIZONA USA, hello Philippines.""","""1183411118435462_1183488311761076""",DOST_PAGASA
"""Ty po sa update..""","""1183411118435462_1183488358427738""",DOST_PAGASA
"""Lakas ng ulan dito Sa negros.""","""1183411118435462_1183488585094382""",DOST_PAGASA
"""Heavy rain since 4am until now here in Mandaue Cebu.  Take care everyone.""","""1183411118435462_1183488818427692""",DOST_PAGASA
"""Tnx SA info""","""1183411118435462_1183488841761023""",DOST_PAGASA
"""Nice naman salamat... Maulan here sa Mactan LLC""","""1183411118435462_1183488891761018""",DOST_PAGASA
"""Thx for the forcast""","""1183411118435462_1183489965094244""",DOST_PAGASA
"""Ty pagasa""","""1183411118435462_1183490445094196""",DOST_PAGASA
"""Pirting owana diri sa ormoc city...\nThanks pagasa for the updates...""","""1183411118435462_1183490971760810""",DOST_PAGASA
"""Bakit pa iba iba loc ng lpa?""","""1183411118435462_1183492781760629""",DOST_PAGASA
"""Salamat sa update.. frm catarman, northern samar""","""1183411118435462_1183492871760620""",DOST_PAGASA
"""Malakas din ulan dito sa dumaguete""","""1183411118435462_1183495641760343""",DOST_PAGASA
"""baha na d2 sa amin""","""1183411118435462_1183497211760186""",DOST_PAGASA
"""\ud83d\ude2f""","""1183411118435462_1183498755093365""",DOST_PAGASA
"""Ulan graveh""","""1183411118435462_1183499925093248""",DOST_PAGASA
"""qraveh anq ulan d2""","""1183411118435462_1183500238426550""",DOST_PAGASA
"""ulab dito sa basilan kanina 1am""","""1183411118435462_1183500995093141""",DOST_PAGASA
"""lakas din hangin dito sa zambo""","""1183411118435462_1183501061759801""",DOST_PAGASA
"""Nabyaan ko sa barko pra masbate :(""","""1183411118435462_1183502658426308""",DOST_PAGASA
"""Lakas ng ulan dito sa negros oriental""","""1183411118435462_1183505005092740""",DOST_PAGASA
"""Ulan sad dinhi sa Sugbu!!""","""1183411118435462_1183505611759346""",DOST_PAGASA
"""Ulan po dito sa Cebu Simula hating gabi...""","""1183411118435462_1183506418425932""",DOST_PAGASA
"""Ulan parin sa Cebu city""","""1183411118435462_1183507435092497""",DOST_PAGASA
"""In Cagayan de Oro rain shower lang...""","""1183411118435462_1183510235092217""",DOST_PAGASA
"""Lakas ulan sa Lapu-Lapu city""","""1183411118435462_1183510668425507""",DOST_PAGASA
"""Nonstop ang  ulan kanina pa-Moalboal Cebu""","""1183411118435462_1183512355092005""",DOST_PAGASA
"""Ulan kag grave tugnaw dre Negros  Occ.""","""1183411118435462_1183512715091969""",DOST_PAGASA
"""Dito din po sa dumaguete""","""1183411118435462_1183514198425154""",DOST_PAGASA
"""low pressure palang to? parang signal #1 na samin dto :(""","""1183411118435462_1183514831758424""",DOST_PAGASA
"""Thank you for the up date ...malakas ang ulan dito po sa Dumaguete City.""","""1183411118435462_1183517085091532""",DOST_PAGASA
"""salamat pagasa""","""1183411118435462_1183523068424267""",DOST_PAGASA
"""Lakas ng ulan dito sa cebu..""","""1183411118435462_1183524928424081""",DOST_PAGASA
"""binabati ko pla  taga tondo""","""1183411118435462_1183525178424056""",DOST_PAGASA
"""\ud83d\ude4b\ud83d\ude4c\ud83d\ude4b\ud83d\ude4c\ud83d\ude4b\ud83d\ude4c""","""1183411118435462_1183526281757279""",DOST_PAGASA
"""Pit senyor haaha""","""1183411118435462_1183528701757037""",DOST_PAGASA
"""I suggest you need to have a Bisaya version of the same forecast for our Bisaya speaking countrymen.""","""1183411118435462_1183534898423084""",DOST_PAGASA
"""Lakas ng ulan dito sa Dumaguete city""","""1183411118435462_1183534971756410""",DOST_PAGASA
"""Malakas ang ulan sa whole world.""","""1183411118435462_1183535741756333""",DOST_PAGASA
"""Maulan kaayu dri sa Northern Cebu particularly sa Bogo City....""","""1183411118435462_1183538161756091""",DOST_PAGASA
"""Grabi po ang ulan ditu sa cebu.  Baha na ulit kami.""","""1183411118435462_1183538821756025""",DOST_PAGASA
"""Tnk u po sa upd8. :)""","""1183411118435462_1183540551755852""",DOST_PAGASA
"""Maukan din dito sa  villaba leyte""","""1183411118435462_1183542415088999""",DOST_PAGASA
"""Ingat po sa lahat..\ud83d\udc4d\ud83c\udffb""","""1183411118435462_1183544951755412""",DOST_PAGASA
"""Good Job Mam.""","""1183411118435462_1183549941754913""",DOST_PAGASA
"""Gud am. Hangin at alon sa mga binibyahe ng mga barko lalo na mga roro passenger, wala po bang gale warning?""","""1183411118435462_1183555121754395""",DOST_PAGASA
"""dito sa dimasalang masbate, parang bagyo po ang lakas nang hangin dito.""","""1183411118435462_1183555488421025""",DOST_PAGASA
"""Iloilo po ulan din""","""1183411118435462_1183557258420848""",DOST_PAGASA
"""Tnx a lot.not a typhoon""","""1183411118435462_1183557681754139""",DOST_PAGASA
"""Heavy rains dito sa Negros""","""1183411118435462_1183560525087188""",DOST_PAGASA
"""\ud83d\udc4c\ud83c\udffc\ud83d\udc4c\ud83c\udffc\ud83d\udc4c\ud83c\udffc\ud83d\udc4f\ud83c\udffc\ud83d\udc4f\ud83c\udffc\ud83d\udc4f\ud83c\udffc\ud83d\ude09\ud83d\ude4f\ud83c\udffc\ud83c\udf2b\ud83c\udf25\ud83c\udf27""","""1183411118435462_1183562105087030""",DOST_PAGASA
"""Walang hinto ang ulan dito sa Bato Leyte.""","""1183411118435462_1183564651753442""",DOST_PAGASA
"""Mgdamag ang ulan dto sa occ.mindoro kgabi.""","""1183411118435462_1183565011753406""",DOST_PAGASA
"""grabe ang ulan dito sa valencia bohol""","""1183411118435462_1183565121753395""",DOST_PAGASA
"""Di s amin s balamban cebu matagal ng umuulan s labas at loob ng bahay namin...""","""1183411118435462_1183565361753371""",DOST_PAGASA
"""Would be nice to hear it in English ;-)""","""1183411118435462_1183565511753356""",DOST_PAGASA
"""ang dilim sa bacolod tuloy tuloy ang ulan  bakit may class pa sa elementary?""","""1183411118435462_1183567248419849""",DOST_PAGASA
"""Walang tigil ang ulan mula pa kagabi""","""1183411118435462_1183567628419811""",DOST_PAGASA
"""Kenneth Charles Regala...pki likefollow please!""","""1183411118435462_1183574385085802""",DOST_PAGASA
"""Malakas pa rin ulan dito sa tacloban""","""1183411118435462_1183574791752428""",DOST_PAGASA
"""whole morning ulan dito sa Cebu""","""1183411118435462_1183578521752055""",DOST_PAGASA
"""Pag asa may bagyo ang lakas ulan d2 negros san carlos""","""1183411118435462_1183579521751955""",DOST_PAGASA
"""Maulan at makulimlim dito sa tagbilaran city bohol""","""1183411118435462_1183580965085144""",DOST_PAGASA
"""Thanks pagasa!!!!!""","""1183411118435462_1183582615084979""",DOST_PAGASA
"""Raindrops keep falling here in ilo2 continue for almost 7hrs until now....""","""1183411118435462_1183583665084874""",DOST_PAGASA
"""Thanks""","""1183411118435462_1183587445084496""",DOST_PAGASA
"""Thank you pag asa""","""1183411118435462_1183588955084345""",DOST_PAGASA
"""Salamat for the update""","""1183411118435462_1183596645083576""",DOST_PAGASA
"""Malamig dto ngaun sa Albay""","""1183411118435462_1183597621750145""",DOST_PAGASA
"""malakas ulan dito sa cebu walang tigil.""","""1183411118435462_1183598098416764""",DOST_PAGASA
"""Thank you po sa regular update""","""1183411118435462_1183602281749679""",DOST_PAGASA
"""Mataas na po ang tubig dto sa dumaguete halos lahat ng lugar binaha na.""","""1183411118435462_1183602451749662""",DOST_PAGASA
"""Aida Guillemer Alcaraz tanawa ni""","""1183411118435462_1183604535082787""",DOST_PAGASA
"""Dto di sa cvte mdilim""","""1183411118435462_1183613131748594""",DOST_PAGASA
"""Iloilo walang hinto ang ulan""","""1183411118435462_1183620925081148""",DOST_PAGASA
"""Tuloytuloy ang ulan sa bayawan city""","""1183411118435462_1183624515080789""",DOST_PAGASA
"""Samatt sa update!!!""","""1183411118435462_1183624751747432""",DOST_PAGASA
"""Maulan po dito sa tacloban city""","""1183411118435462_1183630875080153""",DOST_PAGASA
"""kaya pla mhangin dito sa cavite""","""1183411118435462_1183631631746744""",DOST_PAGASA
"""nonstop rains here with moderate to heavy rains  and sometimes intense rains starting yesterday..""","""1183411118435462_1183633855079855""",DOST_PAGASA
"""Thank you  pagasa""","""1183411118435462_1183638431746064""",DOST_PAGASA
"""Mam mayroon na bang signal allert ang bawat probinsya.""","""1183411118435462_1183640785079162""",DOST_PAGASA
"""Malakas ang hangin dito sa bais city negros oriental""","""1183411118435462_1183648078411766""",DOST_PAGASA
"""Keep safe everyone...""","""1183411118435462_1183648621745045""",DOST_PAGASA
"""Thank you s update""","""1183411118435462_1183659538410620""",DOST_PAGASA
"""Borangan City is always tuned in...""","""1183411118435462_1183664115076829""",DOST_PAGASA
"""Dito sa roxas city sa capiz 2 weeks wala tigil ang ulan.""","""1183411118435462_1183664738410100""",DOST_PAGASA
"""Eastern samar. ..it's raining man...hallelujah!""","""1183411118435462_1183664781743429""",DOST_PAGASA
"""Ma ulan dito sa iligan ngayon""","""1183411118435462_1183665478410026""",DOST_PAGASA
"""Thanks pagasa""","""1183411118435462_1183665715076669""",DOST_PAGASA
"""Malakas po ang ulan dito sa leyte.""","""1183411118435462_1183679695075271""",DOST_PAGASA
"""Malakas ulan dito sa cagayan de oro parang di normal rainfall..""","""1183411118435462_1183691578407416""",DOST_PAGASA
"""Lakas ng ulan dito cdo""","""1183411118435462_1183716655071575""",DOST_PAGASA
"""Salamat at walang bagyo""","""1183411118435462_1183719595071281""",DOST_PAGASA
"""Ahak ning sig uwan oi makapanuhut!""","""1183411118435462_1183752425067998""",DOST_PAGASA
"""Sana wag nmn malakas ung ulan sa samar..""","""1183411118435462_1183769151732992""",DOST_PAGASA
"""big thanks! keep safe and listen to warnings islanders.""","""1183411118435462_1183771491732758""",DOST_PAGASA
"""thnks PAG ASA""","""1183411118435462_1183782498398324""",DOST_PAGASA
"""Sobrang ulan po dito sa san julian eastern samar""","""1183411118435462_1183808148395759""",DOST_PAGASA
"""Just pray to God and mama Mary!""","""1183411118435462_1183810031728904""",DOST_PAGASA
"""Ang lakas ng ulan dto sacebu kninang umaga""","""1183411118435462_1183821728394401""",DOST_PAGASA
"""Kaya pala maulan d2 sa metro cebu kaninang madaling araw hanggang ngaun kc may LPA minsan zero vicibility pa ang dagat""","""1183411118435462_1183929711716936""",DOST_PAGASA
"""Good afternoon Mr Dost Pag ASA. Puede send us the details of our weather system today, not thru video but through type message..\nThank you..""","""1183411118435462_1184333885009852""",DOST_PAGASA
"""1""","""10154706823861522_10154706830231522""",MOCHA
"""1""","""10154706823861522_10154706830291522""",MOCHA
"""Hi miss mocha""","""10154706823861522_10154706830316522""",MOCHA
"""Ist""","""10154706823861522_10154706830356522""",MOCHA
"""hello mocha""","""10154706823861522_10154706830371522""",MOCHA
"""Gow ate mocha support ka namin""","""10154706823861522_10154706830386522""",MOCHA
"""First""","""10154706823861522_10154706830391522""",MOCHA
"""1""","""10154706823861522_10154706830456522""",MOCHA
"""1""","""10154706823861522_10154706830516522""",MOCHA
"""1""","""10154706823861522_10154706830571522""",MOCHA
"""1""","""10154706823861522_10154706830631522""",MOCHA
"""\ud83d\udc4c""","""10154706823861522_10154706830656522""",MOCHA
"""Hi""","""10154706823861522_10154706830801522""",MOCHA
"""Hi mocha, I love you""","""10154706823861522_10154706830806522""",MOCHA
"""1""","""10154706823861522_10154706830916522""",MOCHA
"""Hello mademoiselle""","""10154706823861522_10154706830941522""",MOCHA
"""Hello""","""10154706823861522_10154706830971522""",MOCHA
"""2""","""10154706823861522_10154706830976522""",MOCHA
"""2""","""10154706823861522_10154706831006522""",MOCHA
"""2""","""10154706823861522_10154706831011522""",MOCHA
"""Hello""","""10154706823861522_10154706831056522""",MOCHA
"""2""","""10154706823861522_10154706831076522""",MOCHA
"""Hello po""","""10154706823861522_10154706831096522""",MOCHA
"""Hello po..""","""10154706823861522_10154706831101522""",MOCHA
"""2""","""10154706823861522_10154706831111522""",MOCHA
"""Hello Ms Mocha.. from Riyadh""","""10154706823861522_10154706831156522""",MOCHA
"""3""","""10154706823861522_10154706831161522""",MOCHA
"""2""","""10154706823861522_10154706831171522""",MOCHA
"""2""","""10154706823861522_10154706831176522""",MOCHA
"""Mocha!!!""","""10154706823861522_10154706831186522""",MOCHA
"""2""","""10154706823861522_10154706831266522""",MOCHA
"""2""","""10154706823861522_10154706831271522""",MOCHA
"""2""","""10154706823861522_10154706831276522""",MOCHA
"""hi po from vancouver canada:)""","""10154706823861522_10154706831281522""",MOCHA
"""2""","""10154706823861522_10154706831286522""",MOCHA
"""Hi ms Mocha  watching from Sweden""","""10154706823861522_10154706831406522""",MOCHA
"""1""","""10154706823861522_10154706831441522""",MOCHA
"""Hi""","""10154706823861522_10154706831456522""",MOCHA
"""Second comment""","""10154706823861522_10154706831511522""",MOCHA
"""1""","""10154706823861522_10154706831516522""",MOCHA
"""Hello mocha love love""","""10154706823861522_10154706831546522""",MOCHA
"""Morning""","""10154706823861522_10154706831551522""",MOCHA
"""Hello ms mocha""","""10154706823861522_10154706831571522""",MOCHA
"""2""","""10154706823861522_10154706831591522""",MOCHA
"""1""","""10154706823861522_10154706831616522""",MOCHA
"""Sory nauna ako""","""10154706823861522_10154706831651522""",MOCHA
"""Hello""","""10154706823861522_10154706831656522""",MOCHA
"""Hello from vienna austria""","""10154706823861522_10154706831681522""",MOCHA
"""\""Masagana 99 is a Filipino word for bountiful and 99 was the average production target of 99 cavans [4,900 kilos] per hectare per season for irrigated rice.\"" The rice varieties used in the program were capable of high yields when grown with heavy use of fertilizer, herbicides, pesticides, and irrigation.""","""10154706823861522_10154706831686522""",MOCHA
"""Hi idol Mocha""","""10154706823861522_10154706831696522""",MOCHA
"""1""","""10154706823861522_10154706831721522""",MOCHA
"""Hi miss mocha I'm watching from Kuwait""","""10154706823861522_10154706831756522""",MOCHA
"""mocha idol""","""10154706823861522_10154706831776522""",MOCHA
"""1""","""10154706823861522_10154706831806522""",MOCHA
