emotion,content
angry,"Come on now, Malachi, don't stand on ceremony here at home."
neutral,"So they find your particular weakness, your Achilles heel and they'd go for that."
neutral,The government takes the view that President Clinton was simply addressing domestic critics of his foreign policy and that his complaints shouldn't set the alarm bells ringing.
neutral,Someone came out of The Two Pheasants and latched the door back to the wall hospitably.
sad,The fuel gauge had gone on the blink shortly after the start.
neutral,In the Army someone has to carry the can.
neutral,They're in a Catch 22 situation.
neutral,"Ah, that is the crux of the matter, is it not?"
sad,"It's an embarrassing thing for a fault-tolerant vendor to have to say, but a bug in Guardian for the Tandem Computers Inc NonStop CLX machines caused them to reset their clocks to December 1,1983 on November 1, causing systems with time-dependent programs to go haywire."
sad,She was in dire straits.
neutral,"Yeah, very much a last resort and it's usually, erm as a result of ill treatment."
neutral,"They viewed such methods as a necessary evil, unavoidable yet somehow beneath their dignity."
sad,"The Bookman put on a brave face and smiled, but Endill knew there was nothing to smile about."
happy,But we are saved by the bell.
sad,"Trained as they were, the psychiatrists on the screening tests had failed to scratch the surface of her most secret place."
angry,"You spell trouble, and I want you out of the way."
amazed,"The cost of redeveloping a dilapidated shopping arcade into flats could spiral out of control, a councillor has warned."
neutral,"If he wasn't there then I would say that you you'd be on a sticky wicket, because most terms of employment say that if you er have a driving licence and you lose it then your employment will automatically finish."
neutral,"She paused for a moment to watch Rose, who by now resembled a tar baby stuck all over with dirty wool."
neutral,Mr Ridley would not be drawn on the thorny issue of rail privatisation other then to say that investment was urgently needed in Britain.
neutral,"The submersible rose higher in the dock, the overflowing sea rushing like a tide over their boots."
neutral,"But, somehow, he sensed that that would be an uphill battle."
neutral,"He got back here late this morning, saying the swap had gone without a hitch and clutching the photograph of Sam we'd been promised."
amazed,"Close shave, that one."
neutral,"Yeah, Geoff. Tell him the coast is clear."
neutral,"And with marks to prove it, that er just sort of one false move and my job with life was over."
neutral,Phil Angell asked him what does it take to risk life and limb.
neutral,Just to be on the safe side.
sad,"You really do like to sail close to the wind, don't you?"
neutral,I could do with forty winks right now and Otley would never miss me.
neutral,"Come on old girl, up the golden stairs, let's hit the hay."
neutral,"I suppose it came into my room for a few minutes to see a book I'd been telling him about, then he left and I hit the sack."
neutral,And then sleep on it.
sad,I can not sleep a wink now.
neutral,"Like the Carters', the Parsons' marriage was in turn-around, only there it was Dennis who was the sleeping partner."
neutral,"She ended a bedraggled also-ran, trailing in ninth."
neutral,But if you blow the whole lot on celebrating you will be back to square one.
sad,The tree was destroyed before it could bear fruit.
neutral,Never get anything done in this life if you don't chance your arm.
amazed,"Anne Dawson, had your chips?"
happy,Sure an' they must be pleased seein' the geddle come up in the world like she has.
happy,Today's sticker is from the French Grand Prix he won to get back on course for the title with his sixth superb victory.
neutral,He says that he managed to stay on the crest of the wave.
neutral,"As far as I'm concerned, community care's dead in the water."
neutral,"It was all downhill to the causeway, and the turf was smooth."
neutral,But I draw a blank with hazelnuts.
happy,McLeish smiled to himself at the swift fall from grace in the postscript.
sad,"While all her instincts balked against becoming too enmeshed with Vitor, she seemed destined to fight a losing battle."
happy,It was a test that the Three-Ninetieth passed with flying colours destroying thirteen enemy aircraft and achieving excellent bombing results.
neutral,Aunt May is only the front runner.
neutral,If the money was ploughed back into dog racing  tracks could improve amenities and strengthen security which would encourage more people to go to the dogs.
neutral,"Erm, should the house go up in smoke, Theresa across the road run to her."
neutral,The great creature fell on its knees in the snow.
happy,The station which persuaded him to make a comeback says it can't believe its luck.
neutral,They therefore faced no option other than to make a go of the business.
neutral,"Right, they're the make or break areas which comprise your job."
sad,I'm not getting anywhere my legs aren't long enough
sad,He married someone else in 1860 and drops out of the picture.
happy,He says well if you want to pack it in love.
sad,"And if Emily had expected Craig to ride in on a white charger and save the day, she had been doomed to disappointment."
neutral,"Skinflint Ebeneza is played by showbiz legened Anthony Newely, who starred in several smash hit musicals including Stop the World I Want to Get Off."
neutral,"And anything that's not on the up and up is, well I think it's detrimental to a mans life."
neutral,Have you got a wooden spoon there?
neutral,"Now, was this forty thousand pounds a bolt from the blue or did you know it was coming to you?"
amazed,"It was my 85th birthday recently and out of the blue, a letter arrived from my daughter containing tickets for a four-day trip to Paris."
amazed,"He had to do a double take, bumping into a filing cabinet."
amazed,Everyone looked round and Biff's jaw dropped.
amazed,She almost jumped out of her skin when she saw it.
neutral,"The North Tees hospital trust will be a nine-day wonder, Labour's health spokesman Robin Cook said yesterday."
neutral,Wesley Smith Seeing is believing the videophone which takes the blind out of date.
amazed,I say wonders will never cease I have just written a receipt  and I have put it in her envelope.
angry,"Now though, the gloves are off."
angry,"What do they say, they're up in arms?"
neutral,"Well, I think cause suffering whatever it happens, but, surely why, I mean the elderly had to suffer through the wars so why should they have to suffer again now?"
neutral,How long that will last is a moot point.
happy,"I managed to win a couple of quid on Deano to score the first goal, at odds of 7-1."
neutral,"Perhaps a bird had carried it down, as the dove had borne the olive branch."
angry,"Over my dead body, I said."
happy,Bernice made a vow never to pick a fight with him.
angry,Don't you pick holes in my religion.
neutral,"I might be wrong, but I don't think so, but I have to sit on the fence you see as I get into trouble."
amazed,"The ad-man opposite had been casting meaningful glances at her all evening, and the likeliest explanation seemed to be that she and Roger were doing a number together and I'd inadvertently got caught in the crossfire."
amazed,"They wondered why it was that the storm had left them in this stifling, steamy condition when storms were supposed to clear the air."
neutral,No we've got we've got twenty or thirty girls back there hammer and tongs.
angry,"The two bodies are often at loggerheads, and there are constant disputes over methods."
neutral,All hell broke loose.
angry,But Ilona's alter-ego remains a bone of contention between them.
neutral,Will you bury the hatchet for a while and dance with me?
amazed,"She was tempted to call his bluff, hardly able to believe he'd carry out his threat."
angry,"Now if we were actually to do that in our service books, which is what one of the things that the Methodist conference suggests we consider, just crossing out and putting in the correct non-sexists language, I bet you that eighty percent of our church would be up in arms."
angry,"Somebody's in a black mood, they were objecting to that."
angry,You're a bit cheesed off are you Teresa?
neutral,"Meanwhile, the bristling bloodhounds of the sea lift the flesh along their backs, foam at the mouth dramatically and drop their heads to sniff for tracks."
angry,"Oh yeah, yeah used to get on my nerves."
neutral,Officers at Darlington Borough Council say the gloves are off in the battle for compensation over the town's 12m Dolphin Centre sports complex.
neutral,"If I meet a new act, I always try and assess their maturity in order to judge whether they might go off the deep end as soon as they have success."
angry,He'd go spare.
neutral,"Well, he did rather harp on what a lot of money he spent."
sad,"Hey, d' you hear about the fire-eater who couldn't go anywhere without meeting an old flame, made him feel really hot under the collar."
angry,Can't you mind your own business?
angry,"This quick temper that flared at nothing, that was new."
angry,"Glancing at those muscular knees, ruddy beneath the hem of his pleated tunic, she made up her mind that if he ever attempted to spank her again she would scream blue murder."
neutral,"Now she could see red houses, swimming-pools, race tracks, skyscrapers sticking up like teeth, and roads and railways so uniformly crisscross they seemed like tiles on a vast kitchen floor."
neutral,My glasses are all steamed up.
angry,Did he want me to eat shit or the words stick in my throat and choke me?
angry,"It makes my blood boil, it's sacrilege."
neutral,Well I mean now basically the right question about a riff-raff goes back to the old idea whether you're going too far.
neutral,"Clive Anderson O, while the mighty Sultans take the biscuit."
angry,"When the rations were yet again reduced, that was really the last straw."
neutral,"Yeah, or hold your breath for fifteen to thirty minutes."
neutral,"Put it on at seven o'clock er Emmerdale Farm, but you see when it goes on you feel as though you're tongue tied all be completely anonymous these are all same, but they're different."
neutral,A trip to the loo brought to mind the childhood phrase ants in your pants.
sad,"I think that these articles will hit home, cause a stir, such a stir as Henry Mayhew created some time ago when he, too, wrote of the cabined and confined lives of the capital's poor."
happy,"I was sitting on the edge of my seat, jumping up and down, shouting."
sad,"Millions of carers argue that they bear the brunt of the job... without recognition, or proper payment."
angry,The only thing I'm bent out of shape about is that nobody knows it's a different pickup; everyone thinks it's a regular Trembucker.
neutral,She says it was too close to home and it could easily have been them.
neutral,"We watch as friendships come apart at the seams, as lives of promise collapse under the weight of illness or despair or disillusion, but there is a reckless exhilaration about it all."
sad,She was cut to the quick by the accusation.
sad,The soft sound of voiding filled the air as he rolled over in agony like a fish out of water.
angry,"Well, in the morning, when you've got over your fit of pique, about I don't know what, I'll expect an apology from you."
angry,"For Pete's sake woman, get a grip on yourself."
neutral,Hard as nails. a real bugger. particularly about money.
neutral,"But parents, British Aerospace, say no change of heart."
neutral,I told him there were no hard feelings and that I was only thinking of the club.
happy,The 8 successful trips so far speak volumes.
angry,I need to let off steam.
neutral,"If you're good at do-it-yourself, then fine, have a go, if you're not  this particularly applies to the gents, swallow your pride and get somebody in to do it for you."
happy,How musical the river and how charming the trees whispering sweet nothings as we pass.
neutral,"Devices and Desires, a large concrete and plastic excretion, results from Allen's meditations on the saying, wear your heart on your sleeve."
neutral,"But if by some extraordinary chance you should one day wander into a forest and catch a glimpse of a Minpin, then hold your breath and thank your lucky stars because up to now, so far as I know, no one excepting Little Billy has ever seen one."
neutral,It's probably the aspirin sweating the chill out.
neutral,Just feast your eyes on Chichester's winning municipal car park.
sad,Men propping up the bar over lunch will bewail the loss of earlier freedoms when they were footloose and fancy free.
happy,"The eating had ended, and the drinking was in full swing."
happy,"You're full of the joys of spring at the moment, so make the most of this harmonious period."
sad,"Me friend over in Norway, she said she's she got over there and sat down and she thought, yes, she's got the Complete Works of Shakespeare, I'll have a whale of a time trying to read it, she picks up the book, it's all in Norwegian."
happy,Let Your Hair Down' boasts a Beatles riff and a Michael Hutchence vocal.
neutral,"Right, Sergeant, you take your boy elsewhere and I'll see what jolly Jacko, the life and soul of the party, wants."
happy,You want to have a good time and paint the town red this weekend.
sad,The party is over.
neutral,Well I said I think he was pulling your leg.
neutral,"He probably was told to go home and take it easy, you know."
happy,"Dorothy Snook, of Bristol, will be on cloud nine after a stay at the Hereford Moat Hotel, which includes flying lessons, a balloon flight and a helicopter lesson."
sad,"She supposed she was feeling a bit down in the dumps, apprehensive too about celebrating Christmas Day at the Danbys."
sad,He had never seen Karr looking so down in the mouth.
happy,He was grinning from ear to ear and pointing his finger up to the flies.
neutral,The reason why the Cheshire cheesemakers saw fit to add a grinning cat to their product was because the expression to' grin like a Cheshire Cat' was already in use for another reason altogether.
happy,"Oh, he's on the telly, he must be happy as Larry."
sad,"My heart sinks, the great indefiniteness of the world is spreading through the files like damp."
happy,Our hockey girls jump for joy as Jane Sixsmith scores the goal that clinched a bronze medal.
happy,"Chairman all I've heard so far is music to my ears er thank you. I'd like to er say one or two words before er moving the amendment and I, I'm very pleased to to hear that the two are to be incorporated as it were into this one."
happy,He's as pleased as Punch about it.
neutral,"Maxine Barrie, the Shirley Bassey lookalike who came out on top in the Granada TV Stars In Your Eyes programme, is appearing tonight at the Shotton Hall Banqueting Suite, Peterlee in a Valentine's Night Special."
happy,She was in seventh heaven.
happy,Good god ur Susan will be thrilled to bits if you went again.
happy,But Princess Di was tickled pink yesterday by this new portrait.
happy,"Anyway, she's on top of the world."
happy,I'm absolutely walking on air.
angry,Mark'll go bananas I expect.
angry,Your harebrained idea of going to the chap instead of me.
neutral,But a man could go nuts sitting around wondering about what might happen.
amazed,"The lady with the upright hair who Gloria said had a screw loose, clattered into the bedroom holding out a steaming jug on a tray."
sad,You must be stir crazy.
neutral,"Well despite that Freudian slip there, no they don't take problem owners."
happy,He was so wide of the mark that it made her smile.
neutral,I suppose it was not the done thing for a book of Rambles.
sad,"My attitude on the block was, they know what they're there for, if they overstep the mark they know what to expect."
neutral,"The Marine paused, as if to allow time for any of the three to speak out of turn."
neutral,"If one can speak of a vocal Achilles heel, then Miss Roocroft's is still her cloudy diction."
neutral,The news that oil prices had shot above forty dollars a barrel set alarm bells ringing in E C headquarters in Brussels.
neutral,"He's bit and bridle, ball and chain, a rope to tether me like any other animal."
angry,Only I had to carry the can for it.
neutral,Was this the crux of the matter?
neutral,It isn't always easy for anyone to get to the bottom of every detail of a bill er which refers to earlier legislation.
angry,"After being left in the lurch like that, she'd probably have talked."
amazed,You heard it could be murder?
neutral,A necessary evil for patients like Christine Tweddle.
neutral,"I feel that once parents begin to become too aware of norms, they worry, and therefore unless a child is grossly out of sync, if you like, with their peers, I wouldn't say it would matter, but yes, one would expect a three year old to be talking at one extreme."
happy,There's one thing about junk food -- it gives you a quick fix of carbohydrates and sugar.
amazed,Saved by the bell.
neutral,Take care not to scratch the surface on plastic baths.
amazed,This too may merely serve to let the situation spiral out of control.
neutral,"Maths is absolutely the fundamental stumbling block, isn't it, in a sense?"
neutral,They always take the easy way out.
neutral,"Just like the tar baby, eh?"
sad,The launch day saw a few teething problems.
neutral,The Boozebuster went off without a hitch.
neutral,"Parents have been selected to become erm, relatively insensitive to signs of distress in the offspring, because erm, as where they cry wolf all the time, and as a result, erm, parents don't take crying as seriously in children as they do in adults."
neutral,"For more information, and a free booklet called' Look Before You Leap',"
angry,We know employees are being blackmailed with their jobs to risk life and limb so employers can make a fat profit at our expense.
neutral,"Sharpe, his message in safe hands, was free to return and watch the French."
sad,It's her small child who is at stake.
neutral,Watch your step.
neutral,Possibly his mother had fallen asleep at the wheel.
neutral,Forty winks.
neutral,Then the two cups of decaff before you hit the sack.
neutral,"The Seychelles lie in the middle of the Indian Ocean, just a few degrees south of the equator."
neutral,She returned to bed and went out like a light.
neutral,Your mother used to sleep like a log.
sad,Back to square one again Shel.
neutral,There now let's put this in the bag.
neutral,"And if you ever have word for me that may bear fruit, come and ask entry to me wherever I am."
amazed,The Dalek Killer's led us up a blind alley.
neutral,In similar fashion the bottom fell out of the illustrious 1817 sovereign market in the mid-1970s when investors realised that they were paying 50 per cent over the melt price for a coin minted in millions.
neutral,He looked like the petrol-soaked wreck of a swan come to grief in a polluted river.
neutral,Two goals from Wayne Biggins kept Stoke on course for the Third Division title with a 3-0 home win over Darlington.
neutral,"Cut your losses, Woolley."
sad,"She's dead in the water, and out of range of our conventional rescue forces."
neutral,"Draper says, the dice are loaded against the parents."
sad,It's all downhill from now on.
happy,And she passed with flying colours
happy,"Oxford University's Matthew Syed has got off to a flying start in the Olympic Qualifying tournament in Italy, winning both his opening matches."
neutral,But the French auction house has evidently decided to keep its foot in the door of this potentially lucrative market.
neutral,But I'll tell you who Evans has elected front runner.
neutral,"However, if you think your anger is going to get the better of you, then you'd better be realistic and responsible."
happy,The young members section has come on in leaps and bounds in the last few years.
sad,The insurance business cycle is also at a low ebb.
neutral,I'm not fighting anybody just because they've decided to make a comeback.
neutral,"At this point, technique becomes personal preference, you can either make the cut in the stock first and then prepare the bud for insertion."
neutral,"For a moment, she was looking directly out of the picture."
neutral,Well pack it in both of you.
neutral,Do I pass muster?
neutral,Californians are outsiders over half have travelled thousands of miles for a place in the sun.
happy,A proper rags to riches saga.
neutral,I opened my eyes to the sun riding high over Fair Hill.
sad,Fraser Digby was trying to save the day when he gave away a penalty
neutral,"You know, sky 's the limit with this."
neutral,The video for the smash hit Walking On Broken Glass.
neutral,"As the season draws to a thrilling climax, with Swansea and Llanelli both bearing down on a possible league and cup double, Pontypridd and Newport get their chance to throw a spanner in the works at the Bank Holiday back-to-back Schweppes Cup semi-finals at the Cardiff Arms Park."
neutral,"In the spring of 1956 both London and Washington decided that all they could do for the moment was to allow the Aswan offer to "" wither on the vine ""."
happy,"He used a wooden spoon to stir the mixture, whistling softly."
angry,I hope she doesn't throw the empty glass out into the void to follow its contents; pity the hapless passer-by under that little bolt from the blue.
amazed,Then I got a phone call out of the blue from Mandy the next morning.
amazed,Mrs Friar's jaw dropped.
amazed,"Good God, he thought, I should like to do something that would really make her jump out of her skin for once."
happy,"It won't knock your socks off, but any new species of parrot is pretty exciting."
neutral,"But they were some well on, lo and behold, could open the door two or three minutes late."
amazed,"Indeed, there is a tint of punk rock as in a couple of places and this will raise eyebrows vocalist Billy Nicholson sounds like the dreaded John Lydon."
angry,"John was standing rooted to the spot, his expression stony."
amazed,"If you're still not convinced, seeing is believing."
amazed,"I can't believe it, wonders will never cease."
neutral,Elves and Men had come to blows in the past and might do so again.
angry,Officers at Darlington Borough Council say the gloves are off in the battle for compensation over the town's 12m Dolphin Centre sports complex.
neutral,Combination techniques between two adversaries are pretty much tit for tat.
angry,Southwold are up in arms with it.
sad,"Poor man was through the wars, wasn't he?"
neutral,"You've been in the wars rather, haven't you?"
neutral,"It is, and no doubt will remain, a moot point whether, in these events, the old parliaments were abolished and replaced by novel creations, or whether a pre-existing parliament was merely renamed."
neutral,The European parliament is at odds with the Commission and member states over the draft directive covering working conditions for employees sent to another EC country under contract to provide a specific service.
angry,"Over my dead body,' Mitch stormed."
happy,"I have constructed a kitchen out of flatpacks with only one minor nervous breakdown and one remarkable shouting match involving my wife, her mother, myself and how a length of pine beading ought to be attached to several wall cupboards."
neutral,"I'll give you where's the kid... she's your daughter, Roy Ryan, and you fought hammer and tongs to marry her mother."
neutral,"Though he never forgave me, or my mother for having helped me, both into his world and out of it, he was sufficiently my father to let sleeping dogs lie."
angry,For almost 18 months Margaret Thatcher and Nigel Lawson have been at loggerheads over sterling.
neutral,His production of Mrs Warren's Profession for the National Theatre in 1971 steered cunningly clear of melodrama; his Much Ado About Nothing for the Royal Shakespeare Company in 1971 featured white parasols and sun-dappled lawns that seemed to evoke the world of Turgenev.
neutral,So the order's on so I've got to try and argue the toss with her.
angry,Everyone ought to be up in arms about it.
angry,Why don't you guys get off my back?
angry,"Donald and Jean had disappeared and Mary was in a black mood, striding along and making old Donald gasp."
angry,I'm so cheesed off with you lot can't we do anything about it?
angry,"Who's offside, who's offside for crying out loud?"
neutral,But er you know used to cut it out of er big chunks.
angry,"But vegetarianism is purely a matter of choice and there's no people that harp on about you shouldn't eat meat, get on my nerves."
neutral,"Give it a rest, Jack."
amazed,"Mrs Mangle would be mortified, Harold horrified... and Scott would go spare."
amazed,Joe thought it was wiser to help her get up and fight her hard luck than to harp on it.
angry,And people can also get pretty hot under the collar on Central Weekend.
neutral,"I was going to make a song and dance when we got the 100th subscriber, but 98's near enough."
angry,He appears to have a quick temper and uses his hands continually when he speaks.
angry,It made her want to rant and rave and kick out at something - preferably him.
angry,She was ready to scream blue murder when the flap landed on her tender slit.
angry,Matilda was also beginning to see red.
angry,"He held his temper on a pretty short fuse, and it was as liable to explode in the face of a headmaster as in that of a dustman."
happy,Their steamed up windows excited George.
angry,It's a subject that makes my blood boil and disappointments have left me a blister short of swearing.
neutral,"Consequently, some doctors believe that ignorance is bliss."
neutral,"Drama Zoff detailed the drama behind the scenes as Gazza was kept on tenterhooks for the past four days, wondering whether he would make his Italian debut."
neutral,"Early in the 1970s, the BBC Horizon film' Joey', based on the book' Tongue Tied', a true life autobiography by Joey Deacon about his life in a mental hospital."
happy,The fans at fever pitch.
neutral,All this when her only motivation was to go the extra mile under all circumstances.
sad,Wimbledon had been expected to bear the brunt of the FA's displeasure because of their past record.
angry,You are beside yourself.
sad,"When Lucy suggested a quick drink, Jay was cut to the quick and described herself, with sparse and ironic regret, as working late."
angry,Maybe this was in a fit of pique when the relationship was down rather than up.
neutral,"OK, A apple,' said Rufus, conscious of his Freudian slip."
angry,I don't think you should let yourself get worked up like that.
neutral,"No hard feelings, I can understand your concern."
happy,He's as pleased as Punch about it.
angry,And the brothers who are getting all steamed up about their driving test.
angry,In a stew?
neutral,But if you were' with it' you watched the Saturday pop show Thank Your Lucky Stars which was hosted by Brian Matthew.
amazed,"Mike was wearing a jester's outfit with bells on, one leg red and the other leg yellow."
neutral,Chill out with winter fashion.
happy,I was in my element.
happy,"On a good day, it only takes a glimpse of blue sky or a tree in blossom to make me feel full of the joys of spring and in love with life"
neutral,"So to meself I sey, where shall I have a ball?"
amazed,"But old Walter, he was such a jolly soul-so bright, and loud, and down-to-earth, so much the life and soul of the party. Not at all my idea of a writer."
amazed,The overiding feeling among local people is one of relief that the party is over.
happy,"It's all right, I'm only pulling your leg."
neutral,Pull the other one.
happy,Gispy Fiddler put Jonjo on cloud nine with a Royal Ascot win two years ago and was having his first run for almost a year when shaping well behind Bit Of A Lark at Haydock.
sad,When I left you last night you were positively down in the dumps.
happy,"Jesus ain't arf depressed at seeing his children down in the mouth, me deario."
amazed,"There was a tall muscular man of about his own age standing naked before him, grinning from ear to ear."
happy,She turned to see a very large handsome man holding out a cardigan and grinning like a Cheshire cat.
happy,He had to make his own terms. Ten years later Burton would have been as happy as Larry.
